pr_number,id,author,state,body,createdAt
65,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjg5OTc4OTc2,znck,COMMENTED,,2019-09-18T14:48:24Z
65,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjg5OTc5NDAx,znck,COMMENTED,,2019-09-18T14:48:53Z
65,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3MjkwMDUwODYz,yyx990803,COMMENTED,,2019-09-18T16:32:56Z
65,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3MjkwMDUxMjk4,yyx990803,COMMENTED,,2019-09-18T16:33:42Z
65,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3MjkwMDUxNjU4,yyx990803,CHANGES_REQUESTED,,2019-09-18T16:34:20Z
65,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3MjkwMDUzMjY1,yyx990803,CHANGES_REQUESTED,,2019-09-18T16:37:20Z
65,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3MjkwMDc2NTc4,yyx990803,CHANGES_REQUESTED,,2019-09-18T17:19:17Z
65,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3MjkwMTA3NTM4,znck,COMMENTED,,2019-09-18T18:11:59Z
65,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3MjkwMTU5NjYz,znck,COMMENTED,,2019-09-18T19:47:40Z
65,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3MjkwMTYwOTI2,znck,COMMENTED,,2019-09-18T19:50:09Z
65,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3MjkwNjEzNTcz,yyx990803,CHANGES_REQUESTED,,2019-09-19T14:33:11Z
65,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3MjkwNzIyODg2,yyx990803,APPROVED,,2019-09-19T17:23:40Z
69,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk0MDAzMjM5,znck,COMMENTED,,2019-09-26T21:05:08Z
69,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk0MDA0MjUw,znck,COMMENTED,,2019-09-26T21:07:06Z
69,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk0MDA1Mzkx,znck,COMMENTED,,2019-09-26T21:09:25Z
69,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk0MDA2MTQz,znck,COMMENTED,,2019-09-26T21:10:55Z
75,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk1MTYzNDM4,haoqunjiang,COMMENTED,,2019-09-30T18:22:09Z
75,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk1Mzk1MjQx,haoqunjiang,COMMENTED,,2019-10-01T06:46:25Z
75,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk1NzM5NTc3,yyx990803,COMMENTED,,2019-10-01T16:40:13Z
75,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3MzE3NTIwMjc0,haoqunjiang,COMMENTED,,2019-11-15T10:10:16Z
77,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3MzI0OTIzMDEw,ducan-ne,APPROVED,"cool, but seem not pass the tests",2019-12-01T06:57:37Z
81,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3NzgzNDQw,znck,COMMENTED,I think we should provide some context where the property is assigned. The filename and source location can help mitigate this situation easily.,2019-10-05T09:14:03Z
82,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3NzgxNjM2,znck,COMMENTED,We might wanna provide information about source/originator of warning.  ,2019-10-05T08:16:23Z
82,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk3NzkzODE4,yyx990803,CHANGES_REQUESTED,"Thanks for the PR - however, these warnings were listed as todo because we need more descriptive messages (consult other existing warning messages) and also include details about the runtime values (if applicable). E.g. the warning about attempt of mutating a prop should point out which prop is being mutated.",2019-10-05T14:29:20Z
82,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk4MTc1NjEw,yyx990803,COMMENTED,,2019-10-07T14:35:45Z
82,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk4MTg0MDQ2,TimvdEijnden,COMMENTED,,2019-10-07T14:46:54Z
82,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk4MTg3NTkx,yyx990803,COMMENTED,,2019-10-07T14:51:25Z
82,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk4MTg4MjQx,yyx990803,CHANGES_REQUESTED,,2019-10-07T14:52:13Z
82,MDE3OlB1bGxSZXF1ZXN0UmV2aWV3Mjk4OTc2MDIx,yyx990803,CHANGES_REQUESTED,,2019-10-08T18:51:58Z
